id,ra,dec,zspec,Conf
123061203,53.14623,-27.83456,5.1629,3
123016117,53.15339,-27.83563,3.4897,2
124038073,53.1654,-27.83315,5.1724,2
124027057,53.17126,-27.82829,4.5037,3
124001001,53.16998,-27.82671,3.0679,1
124014030,53.16958,-27.82688,4.0279,3
124033068,53.16598,-27.82386,5.0473,3
124004013,53.16617,-27.81982,3.4192,3
604342475,53.16054,-27.81925,3.7009,3
600811256,53.16272,-27.82079,3.0233,2
608053471,53.16313,-27.82097,4.5015,2
124003012,53.16461,-27.81933,3.3365,2
602361806,53.1646,-27.81937,3.3364,3
605682793,53.16406,-27.81902,4.0291,3
124026056,53.16187,-27.81904,4.4996,3
607993465,53.16186,-27.81902,4.5009,3
611473972,53.16094,-27.81857,5.2944,2
602982062,53.16266,-27.81758,3.4455,3
604502491,53.16361,-27.81714,3.7058,2
123006090,53.13969,-27.8348,3.2019,2
123027133,53.14462,-27.831,5.8017,2
122005056,53.13781,-27.8336,3.0648,2
123018120,53.14259,-27.82655,3.5705,3
123048186,53.14568,-27.82527,4.3789,2
123031149,53.14557,-27.82335,3.7887,2
122012068,53.13604,-27.83044,3.3142,3
123051191,53.13981,-27.82678,4.5075,3
122039136,53.13186,-27.82689,4.9087,2
133048099,53.13416,-27.82289,6.2487,1
133029074,53.1412,-27.82356,4.1539,2
133007040,53.1407,-27.819,3.5674,2
123050190,53.15187,-27.82644,4.4955,3
124015031,53.15608,-27.82123,4.0318,2
124005014,53.15357,-27.82114,3.57,3
612564141,53.15802,-27.81792,5.6419,3
605622786,53.16039,-27.81737,4.0097,3
601361468,53.1622,-27.81573,3.1036,2
607573365,53.16144,-27.81504,4.3982,1
607733413,53.15863,-27.815,4.432,1
609683714,53.15702,-27.8162,4.8614,3
601621599,53.15517,-27.81519,3.1785,3
601621600,53.15519,-27.81517,3.8228,1
603422141,53.15792,-27.81474,2.5693,3
610413825,53.15716,-27.81391,5.0518,2
600711155,53.15847,-27.81369,3.0145,2
604392480,53.15832,-27.81342,3.704,3
602121764,53.15748,-27.81174,3.3102,2
133017053,53.14376,-27.8158,3.909,3
133028073,53.14309,-27.81548,4.1498,2
602111763,53.15111,-27.8105,3.3095,2
610353819,53.1498,-27.81071,5.0339,2
600150686,53.1489,-27.80992,2.9283,2
603712312,53.15007,-27.80945,3.5669,2
610503835,53.14939,-27.80974,5.0595,2
601941682,53.15183,-27.80918,3.2567,2
604442485,53.15312,-27.80704,3.7047,2
604972561,53.15123,-27.80861,3.7988,2
606883193,53.15034,-27.80891,4.231,1
607443344,53.15241,-27.80748,4.3661,1
608003466,53.15193,-27.80794,4.5007,3
614454355,53.15176,-27.80743,2.2593,1
125052125,53.17347,-27.82502,5.6168,1
125026077,53.17514,-27.82404,4.0316,2
