id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.1985-27.79675,53.19849818534748,-27.796753187555048,9.72,-9999.0,-,-18.71,29.294564948231724
JADES-GS-53.19904-27.77207,53.19904343290407,-27.772072555109304,8.31,-9999.0,-,-16.89,29.144941841688457
JADES-GS-53.20065-27.79802,53.20065031812516,-27.79802151190078,11.71,-9999.0,-,-18.32,29.566437238900544
JADES-GS-53.20272-27.7895,53.20272330694385,-27.789500536019446,8.66,-9999.0,-,-18.32,28.931278614741874
JADES-GS-53.20276-27.74833,53.20275646004019,-27.74833262247763,8.01,-9999.0,-,-18.52,29.275362431545553
JADES-GS-53.20478-27.76899,53.20477550487453,-27.768988712729115,9.19,-9999.0,-,-17.51,30.913444528031988
JADES-GS-53.2053-27.76118,53.20529664160166,-27.76117869493414,8.93,-9999.0,-,-17.37,29.976754177876128
JADES-GS-53.20575-27.7613,53.20574606953664,-27.761301525504983,8.64,-9999.0,-,-17.74,29.040060565185613
JADES-GS-53.20645-27.78923,53.20645298483264,-27.789228853456198,9.39,-9999.0,-,-17.49,30.42710505429299
JADES-GS-53.20814-27.76997,53.20813988263478,-27.769965701620063,8.89,-9999.0,-,-17.37,29.52989435713087
JADES-GS-53.20846-27.78558,53.20846120064559,-27.785576450892375,8.5,-9999.0,-,-18.03,29.12251939382654
JADES-GS-53.20858-27.7831,53.208583999268356,-27.783095873877123,9.67,-9999.0,-,-16.78,31.039911679984982
JADES-GS-53.20988-27.77928,53.209884143537735,-27.779278256312317,8.36,-9999.0,-,-19.74,27.08824157609614
JADES-GS-53.21019-27.78114,53.21018822323051,-27.78114329703285,9.38,-9999.0,-,-18.62,29.633505504792577
JADES-GS-53.21333-27.75632,53.213325666598905,-27.756322028194035,8.2,-9999.0,-,-19.44,27.610796117484036
JADES-GS-53.21339-27.76951,53.21338635985566,-27.7695097962781,11.13,-9999.0,-,-18.21,30.157081041444915
JADES-GS-53.21452-27.77681,53.214518202439976,-27.77681147198805,9.29,-9999.0,-,-17.52,30.87523171348659
JADES-GS-53.21625-27.7564,53.2162542094859,-27.75639942455551,8.43,-9999.0,-,-18.09,29.932247684764015
JADES-GS-53.21669-27.75597,53.21669060712647,-27.7559704124442,8.51,-9999.0,-,-17.36,29.960148336467633
JADES-GS-53.22365-27.75811,53.22365471626034,-27.758114036479224,8.4,-9999.0,-,-18.70,29.78195343244116
